"","program_name","dementia_specific","certification","occupancy","county","adminfirstname","adminlastname","phone","fax1","email","location_1","location_1_address","location_1_city","location_1_state","location_1_zip","zip5","zip9","coords","lat","long"
"214","Reflections Assisted Living","Yes","S0168",18,"Washington","Ryan","Larmore","(319) 646-5812","(319) 646-2443","rlarmore@mgmhealthcare.com","POINT (-91.834473 41.474581)","512 13th Street","Wellman","Iowa",523569327,52356,523569327,NA,NA,NA
"215","Calvin Community AL Services","Yes","S0057",183,"Polk","Susan","O'Connell","(515) 277-6141","(515) 271-0933","soconnell@CalvinCommunity.org","POINT (-93.675354 41.614915)","4210 Hickman Rd","Des Moines","Iowa",503103333,50310,503103333,NA,NA,NA
"216","Rose of Waterloo","No","S0266",128,"Blackhawk","Gladys","Rainey","(319) 232-6061","(319) 232-6571","roseofwatadmin@rosecommunities-alf.com; Rosepersonnel@rosecommunities-alf.com; roseoperations@rosecommunities-alf.com","POINT (-92.341108 42.505068)","421 Oak Avenue","Waterloo","Iowa",507033401,50703,507033401,NA,NA,NA
"217","Arlington Place of Grundy Center","No","S0112",80,"Grundy","Kaylene","Hoskins","(319) 824-5674","(319) 824-5676","managergc@arlingtonplaceretirement.com","POINT (-92.763099 42.364378)","95 D Avenue","Grundy Center","Iowa",506381950,50638,506381950,NA,NA,NA
"218","Spring Valley Senior AL","Yes","S0129",77,"Dallas","Quinn","Adair","(515) 465-7501","(515) 465-7509","quinn.adair@perrylutheranhome.org","POINT (-94.091396 41.833123)","501 12th Street","Perry","Iowa",502201913,50220,502201913,NA,NA,NA
"219","Oaks at Parkview Care Center","No","S0276",32,"Jefferson","Sarah","Flattery","(641) 472-5022","(641) 472-6483","osby@iowatelecom.net; theoaks@theoaksfairfieldiowa.com; sarah@osbycorp.com","POINT (-91.905066 41.002803)","2235 Hwy 34","Fairfield","Iowa",52556,52556,52556,NA,NA,NA
"220","Emerald Oaks","No","S0169",42,"Palo Alto","Tammy","Shimon","(712) 852-4266","(712) 852-4662","tshimon@abcmcorp.com","POINT (-94.683929 43.104758)","2603 17th Street","Emmetsburg","Iowa",505362032,50536,505362032,NA,NA,NA
"221","Prairie Hills at Ottumwa","Yes","S0259",100,"Wapello","Doug","Techel","(641) 684-1871","(641) 684-5827","administrator@prairiehillsottumwa.com","POINT (-92.405879 41.05999)","173 East Rochester Street","Ottumwa","Iowa",525011125,52501,525011125,NA,NA,NA
"222","Bickford Cottage II Sioux City","Yes","S0063",41,"Woodbury","Jill","Colling","(712) 239-6851","(712) 239-0848","jill.colling@enrichinghappiness.com","POINT (-96.374313 42.539407)","4022 Indian Hills Dr","Sioux City","Iowa",511081418,51108,511081418,NA,NA,NA
"223","Windsor Manor Webster City","Yes","S0272",82,"Hamilton","Jodi","Berns-Lennon","(515) 832-1188","(319) 363-6145","Jodi.berns-lennon@windsor-manor.com","POINT (-93.839182 42.456349)","1401 Wall Street","Webster City","Iowa",505952758,50595,505952758,NA,NA,NA
"224","Sunrise Villa","No","S0030",36,"Jackson","James","Harkness","(563) 872-5521","(563) 872-5609","antler146@gmail.com","POINT (-90.438072 42.258626)","308 North 12th Street","Bellevue","Iowa",520311944,52031,520311944,NA,NA,NA
"225","Rowley Masonic AL Community","Yes","S0346",32,"Dallas","CINDY","FRIESE","(515) 465-5316","(515) 465-4869","cindy@rowleymasoniccommunity.org; 
trish@rowleymasoniccommunity.org","POINT (-93.742163 41.591434)","1300 28th Street; PO Box 578","Perry","Iowa",50220,50220,50220,NA,NA,NA
"226","Kensington, The","Yes","S0092",134,"Lee","Rachel","Benda","(319) 372-4233","(319) 372-7940","rbenda@kensington-evergreen.com","POINT (-91.337247 40.630286)","2210 Ave H","Fort Madison","Iowa",526274000,52627,526274000,NA,NA,NA
"227","Bickford Cottage WDM","Yes","S0043",66,"Polk","Heidi ","Fristo","(515) 327-9400","(515) 223-0151","heidi.fristo@enrichinghappiness.com","POINT (-93.772549 41.563933)","5050 Hawthorne Dr","West Des Moines","Iowa",502655353,50265,502655353,NA,NA,NA
"228","Silvercrest at Woodlands Creek","Yes","S0164",136,"Polk","Greg","Ernst","(515) 223-9755","(515) 223-9875","greg.ernst@woodlandscreek.com","POINT (-93.79044 41.609453)","12605 Woodlands Parkway","Clive","Iowa",503258701,50325,503258701,NA,NA,NA
"229","Eagle Ridge Independent and Assisted Living","No","S0354",36,"Clayton","Janette","Simon","(563) 252-2288","(563) 252-2287","jsimon@abcmcorp.com","POINT (-91.106013 42.77894)","1329 Acre Street","Guttenberg","Iowa",52052,52052,52052,NA,NA,NA
"230","Leland Smith Assisted Living","No","S0187",48,"Muscatine","Shelley","Wicks","(563) 732-2086","(563) 732-2465","swicks@simpsonhome.org","POINT (-91.013975 41.596091)","309 Ovesen Drive","Wilton","Iowa",527789605,52778,527789605,NA,NA,NA
"231","Bickford Cottage Davenport","Yes","S0054",51,"Scott","Laura","Entsminger","(563) 322-0000","(563) 441-0758","laura.entsminger@enrichinghappiness.com","POINT (-90.515194 41.577744)","4040 E 55th St","Davenport","Iowa",528072905,52807,528072905,NA,NA,NA
"232","Prime Assisted Living","No","S0245",120,"Woodbury","Jean","Parrish","(712) 226-6300","(712) 226-6361","primelivingjp@frontiernet.net","POINT (-96.407918 42.497966)","725 Pearl Street","Sioux City","Iowa",511011014,51101,511011014,NA,NA,NA
"233","MJ Estates","No","S0364",32,"Audubon","Steve","Fister","(712) 268-5393","(712) 268-2614","sfister@exiracare.net","POINT (-94.877583 41.585896)","411 S. Carthage Street","Exira","Iowa",50076,50076,50076,NA,NA,NA
"234","Oneota Village","No","S0206",32,"Winneshiek","Lou Ann","Wikan","(563) 382-1869","(563) 382-1866","lwikan@abcmcorp.com","POINT (-91.802838 43.303134)","5 Ohio Street","Decorah","Iowa",521011563,52101,521011563,NA,NA,NA
"235","Primrose Retirement Community","No","S0273",64,"Pottawattamie","Paul","Larsen","(712) 352-1111","(712) 352-0145","plarsen@primroseretirement.com","POINT (-95.823504 41.275527)","1801 East Kanesville Blvd.","Council Bluffs","Iowa",51503,51503,51503,NA,NA,NA
"236","Lakeview Village","No","S0103",56,"Iowa","Kelsie","Ballard","(319) 622-6500","(319) 622-6046","kelsieb@southslope.net","POINT (-91.894523 41.801137)","3012 F Drive","Amana","Iowa",522038224,52203,522038224,NA,NA,NA
"237","Summit Heights","No","S0060",16,"Floyd","William ","Byerly","(641) 749-2411","(641) 749-5874","bbyerly@abcmcorp.com","POINT (-93.016487 43.142452)","8 S Summit Ave","Nora Springs","Iowa",504588638,50458,504588638,NA,NA,NA
"238","Bryhl Assisted Living","No","S0251",84,"Blackhawk","Paula","Padavich","(319) 268-0401","(319) 268-0040","ppadavich@newaldaya.org","POINT (-92.447659 42.513032)","7511 University Avenue","Cedar Falls","Iowa",506135027,50613,506135027,NA,NA,NA
"239","Bickford Cottage Iowa City","Yes","S0023",65,"Johnson","Seth","Ickowitz","(319) 351-3200","(319) 351-6861","seth.ickowitz@enrichinghappiness.com","POINT (-91.482557 41.664646)","3500 Lower W Branch Rd","Iowa City","Iowa",522454106,52245,522454106,NA,NA,NA
"240","Oakwood Place AL","Yes","S0139",120,"Scott","Mary Kathleen","Harris","(563) 391-3430","(563) 823-3672","kharris@ridgecrestvillage.org","POINT (-90.580675 41.562775)","4126 Northwest Blvd.","Davenport","Iowa",528064264,52806,528064264,NA,NA,NA
"241","Arbor Place","Yes","S0065",64,"Linn","Susan","Schmitt","(319) 365-9171","(319) 363-3198","sschmitt@methwick.org","POINT (-91.688877 41.983793)","1140 K Avenue NW","Cedar Rapids","Iowa",524052430,52405,524052430,NA,NA,NA
"242","Fountain View Assisted Living","Yes","S0172",92,"Woodbury","Hallie","Salmen","(712) 276-3821","(712) 202-0410","salmenh@sunriseretirement.com; chriss@sunriseretirement.com","POINT (-96.332579 42.475702)","5501 Gordon Drive East","Sioux City","Iowa",511062008,51106,511062008,NA,NA,NA
"243","Ruthven Community Care Center","No","S0147",30,"Palo Alto","Laura","Westergard","(712) 837-5411","(712) 837-5550","don-rccc@ruthvenccc.com","POINT (-94.888296 43.126999)","2701 Mitchell Street","Ruthven","Iowa",513587741,51358,513587741,NA,NA,NA
"244","Shores at Pleasant Hill","Yes","S0239",220,"Polk","Seth","Reeves","(515) 262-4444","(515) 262-3840","admin@theshoreslife.com","POINT (-93.524918 41.603947)","1500 Edgewater Drive","Pleasant Hill","Iowa",503270921,50327,503270921,NA,NA,NA
"245","SunnyBrook of Carroll","Yes","S0285",70,"Carroll","Tina","Patterson","(712) 792-8995","(712) 792-8161","edcarroll@symphonyseniorliving.com","POINT (-94.849439 42.078619)","1214 East 18th Street","Carroll","Iowa",51401,51401,51401,NA,NA,NA
"246","Keystone Senior Suites","No","S0018",24,"Benton","Tracy","Hanson","(319) 442-3234","(319) 442-3550","thanson@netins.net","POINT (-92.198251 42.004364)","251 6th St","Keystone","Iowa",522499538,52249,522499538,NA,NA,NA
"247","Meadows Assisted Living","No","S0084",60,"Butler","Andrea","Nieman","(319) 885-4341","(319) 885-6595","andrea.nieman@twsl.com","POINT (-92.571864 42.713809)","528 N Kelly St","Shell Rock","Iowa",506701006,50670,506701006,NA,NA,NA
"248","Avoca Lodge AL","No","S0138",40,"Pottawattamie","Daniele","Thraen","(712) 343-2400","(712) 343-2501","dthraen@careinitiatives.org; rmccoy@careinitiatives.org","POINT (-95.334513 41.502035)","612 East York Road","Avoca","Iowa",515214504,51521,515214504,NA,NA,NA
"249","Martina Place","No","S0002",120,"Polk","Brenda","Ballard","(515) 251-7999","(515) 331-8860","Brenda.ballard@chilivingcomm.org","POINT (-93.698317 41.668337)","5815 Winwood Dr","Johnston","Iowa",501311666,50131,501311666,NA,NA,NA
"250","River Bend Retirement Community","No","S0237",62,"Dubuque","Karen","Holmes","(563) 852-5001","(563) 852-5154","rbmanager@netins.net ","POINT (-91.014109 42.308258)","813 Tyler Street NE","Cascade","Iowa",52033,52033,52033,NA,NA,NA
"251","RidgeView Assisted Living","No","S0205",88,"Linn","Keri","Boffeli","(319) 362-1050","(319) 396-4642","cdirector@viewsseniorliving.com; kboffeli@viewsseniorliving.com","POINT (-91.711289 41.979971)","2975 F Avenue NW","Cedar Rapids","Iowa",524052949,52405,524052949,NA,NA,NA
"252","Waterford at Ames Assisted Living","No","S0041",122,"Story","Vonnie","Potter","(515) 292-2858","(515) 296-2134","vpotter@capitalseniorliving.net","POINT (-93.676313 42.010479)","1325 Coconino Rd, Ste 300","Ames","Iowa",500147842,50014,500147842,NA,NA,NA
"253","Prairie Hills at Clinton","Yes","S0243",100,"Clinton","Heather","Christiansen","(563) 243-6870","(563) 242-0404","edclinton@symphonyseniorliving.com","POINT (-90.2272 41.859278)","1701 13th Avenue North","Clinton","Iowa",527323300,52732,527323300,NA,NA,NA
"254","Lincolnway Villa AL","No","S0171",28,"Clinton","Michael","Weih","(563) 374-1295","(563) 374-1107","wmanor@fbcom.net","POINT (-90.835162 41.833459)","320 East Lincolnway","Wheatland","Iowa",527779731,52777,527779731,NA,NA,NA
"255","Bickford Cottage Urbandale","Yes","S0042",98,"Polk","Angela","Harris","(515) 331-3000","(515) 270-1781","angela.harris@enrichinghappiness.com","POINT (-93.701715 41.648349)","5915 Sutton Place","Urbandale","Iowa",503221877,50322,503221877,NA,NA,NA
"256","Kingston Court","No","S0152",42,"Clayton","Kristin","Dunlap","(563) 245-1620","(563) 245-2198","kdunlap@elkadercarecenter.com ","POINT (-91.404555 42.847898)","118 Reimer Street SW","Elkader","Iowa",520439558,52043,520439558,NA,NA,NA
"257","MeadowView Memory Care Village","Yes","S0228",68,"Linn","Kelly","Scanlon","(319) 294-9669","(319) 390-8080","cdirector@viewsseniorliving.com","POINT (-91.711892 41.980001)","3005 F Avenue NW","Cedar Rapids","Iowa",524052944,52405,524052944,NA,NA,NA
"258","Community Memorial AL","No","S0150",32,"O'Brien","Jeannine ","Bunge","(712) 728-2524","(712) 728-2429","cmhc@tcaexpress.net; cmal@tcaexpress.net","POINT (-95.48685 43.184201)","233 North 8th Avenue West","Hartley","Iowa",513461077,51346,513461077,NA,NA,NA
"259","Springvale Assisted Living","No","S0203",32,"Humboldt","Terry","Raymond","(515) 332-7660","(515) 332-7646","terryr@humboldthospital.org","POINT (-94.230241 42.732431)","1050 15th Street North","Humboldt","Iowa",505481076,50548,505481076,NA,NA,NA
"260","Mill Pond AL","No","S0027",98,"Polk","Allison","Bass","(515) 964-2273","(515) 965-3100","abass@preshomes.org","POINT (-93.579434 41.724561)","1201 SE Mill Pond Ct","Ankeny","Iowa",500216534,50021,500216534,NA,NA,NA
"261","Gardens Assisted Living","No","S0269",68,"Greene","Matt","Gordon","(515) 386-2555","(515) 386-3179","manager@gardenslifestyle.com","POINT (-94.384951 42.017238)","1000 West Washington","Jefferson","Iowa",501294701,50129,501294701,NA,NA,NA
"262","Custom Care","No","S0108",48,"Linn","Katie","Christensen","(319) 365-9171","(319) 363-5312","kchristensen@methwick.org","POINT (-91.689553 41.98466)","1224 13th St NW","Cedar Rapids","Iowa",524052404,52405,524052404,NA,NA,NA
"263","Prairie Creek Assisted Living","No","S0173",32,"Palo Alto","Pat ","Zaugg","(515) 887-4071","(515) 887-3973","pzaugg@ensigngroup.net","POINT (-94.448633 42.965927)","301 4th Street NW","West Bend","Iowa",505975113,50597,505975113,NA,NA,NA
"264","Cottage Grove Place","Yes","S0035",38,"Linn","Jill","East","(319) 297-5600","(319) 297-5555","jeast@cottagegroveplace.com","POINT (-91.634925 42.009142)","2115 1st Ave SE","Cedar Rapids","Iowa",524026358,52402,524026358,NA,NA,NA
"265","SOUTHCREST MANOR II","No","S0221",32,"Allamakee","Nona","Sawyer","(563) 568-0043","(563) 568-0043","allhousing@mchsi.com","POINT (-91.478759 43.263179)","602 2nd St SW","WAUKON","Iowa",521722242,52172,521722242,NA,NA,NA
"266","Vista Prairie at Keelson Harbour","Yes","S0258",174,"Dickinson","Jessie","Warburton","(712) 336-4501","(712) 336-4502","jessiewarburton@vistaprairie.org","POINT (-95.125031 43.413716)","2810 Aurora Avenue","Spirit Lake","Iowa",513607055,51360,513607055,NA,NA,NA
"267","Solon Assisted Living Village","No","S0306",36,"Johnson","Christine","Cross","(319) 624-5353","(319) 624-5363","manager@solonretirementvillage.com","POINT (-91.488903 41.802092)","623 E. 5th Street","Solon","Iowa",52333,52333,52333,NA,NA,NA
"268","New Homestead","No","S0087",28,"Guthrie","Lanny","Ward","(641) 332-2204","(641) 332-2982","lanny.ward@thenewhomestead.org","POINT (-94.423501 41.680636)","2306 State St","Guthrie Center","Iowa",501158896,50115,501158896,NA,NA,NA
"269","Welcov Assisted Living at Alta","No","S0096",57,"Buena Vista","Rebecca","Wolf","(712) 200-2620","(712) 200-1174","Rebecca.wolf@welcov.com","POINT (-95.310576 42.668495)","705 W 7th St","Alta","Iowa",510021525,51002,510021525,NA,NA,NA
"270","Thornton Heights Assisted Living","No","S0183",26,"Allamakee","Sam","Kuhn","(563) 538-4335","(563) 538-4460","samkuhn@rconnect.com; juliefossum@rconnect.com","POINT (-91.233857 43.361244)","1329 Main St","Lansing","Iowa",521519615,52151,521519615,NA,NA,NA
"271","Wesley Acres Central AL","No","S0075",118,"Polk","Brandon","Kranovich","(515) 271-6500","(515) 271-6522","bkranovich@wesleylife.org","POINT (-93.664267 41.58448)","3520 Grand Ave","Des Moines","Iowa",503124359,50312,503124359,NA,NA,NA
"272","Kosgrove Estates","No","S0115",20,"Sioux","Margriet ","Olson","(712) 722-4972","(712) 722-3294","kosgroveNo@gmail.com","POINT (-96.175226 43.047249)","4155 US 75","Sioux Ctr","Iowa",512507522,51250,512507522,NA,NA,NA
"273","Bickford Cottage Ames","No","S0024",63,"Story","Ashley","Terrell","(515) 233-6000","(515) 268-9817","Ashley.terrell@enrichinghappiness.com","POINT (-93.639772 42.046088)","2418 Kent Ave","Ames","Iowa",500107119,50010,500107119,NA,NA,NA
"274","Emerson Point","No","S0181",108,"Johnson","Victoria","Huffman","(319) 466-0200","(319) 466-9370","Victoria@burnshousing.com","POINT (-91.580712 41.646871)","1355 Shannon Drive","Iowa City","Iowa",522464192,52246,522464192,NA,NA,NA
"275","Davenport Lutheran AL","No","S0033",34,"Scott","Susan ","Payne","(563) 386-6933","(563) 386-1056","s.payne@lhaa-e.org","POINT (-90.58865 41.574526)","1128 W 53rd St","Davenport","Iowa",528062435,52806,528062435,NA,NA,NA
"276","Estabrook Lodge Assisted Living","No","S0154",8,"Hardin","Susan","Eichmeier","(641) 939-3491","(641) 939-2583","seichmeier@careinitiatives.org ","POINT (-93.111103 42.357049)","2302 Rick Collins Way","Eldora","Iowa",506278357,50627,506278357,NA,NA,NA
"277","Courtyard Estates at Cedar Pointe","Yes","S0220",60,"Polk","Chelsey","Stalker","(515) 285-9108","(515) 266-4344","manager@courtyard-estates.net","POINT (-93.490349 41.600628)","6132 NE 12TH AVENUE","Pleasant Hill","Iowa",503278911,50327,503278911,NA,NA,NA
"278","Silvercrest Garner Farms","Yes","S0066",138,"Scott","Leah","Luna","(563) 386-9196","(563) 445-7397","leah.luna@garnerfarms.com","POINT (-90.596649 41.57443)","1575 W 53rd","Davenport","Iowa",528062448,52806,528062448,NA,NA,NA
"279","Meadows Assisted Living","No","S0225",42,"Wright","Carla","Kem","(515) 532-2035","(515) 532-9304","carla.kem@iaspecialty.com","POINT (-93.732633 42.721797)","1302 South Main Street","Clarion","Iowa",505252091,50525,505252091,NA,NA,NA
"280","Clarence Assisted Living","No","S0329",36,"Cedar","Rebekah","Tjaden","(563) 452-3266","(563) 452-3268","rebekah@clarenceseniorliving.com","POINT (-91.062804 41.885543)","408 2nd Avenue","Clarence","Iowa",52216,52216,52216,NA,NA,NA
"281","Huskamp Haven","No","S0242",32,"Kossuth","Sandy","Buscher","(515) 395-3300","(515) 395-3301","sbuscher@good-sam.com","POINT (-94.24175 43.063954)","300 Riverview Drive","Algona","Iowa",505113241,50511,505113241,NA,NA,NA
"282","Rock Ridge Assisted Living","No","S0235",24,"Benton","Jodie","Bevans","(319) 436-5570","(319) 436-5571","rockridgecarecenter@aol.com","POINT (-91.873459 42.098709)","400 Canton Street NW","Shellsburg","Iowa",523329645,52332,523329645,NA,NA,NA
"283","Risen Son Christian Village","Yes","S0200",26,"Pottawattamie","Greg ","Witte","(712) 366-9655","(712) 366-4748","gwitte@chliving.org","POINT (-95.801369 41.231455)","3000 Risen Son Boulevard","Council Bluffs","Iowa",515031191,51503,515031191,NA,NA,NA
"284","Heartwood Heights","No","S0101",44,"Osceola","Theresa ","Riley","(712) 754-3009","(712) 754-3782","hheights@premieronline.net","POINT (-95.741722 43.408411)","409 9th Ave North","Sibley","Iowa",512490000,51249,512490000,NA,NA,NA
"285","Cornerstone AL","No","S0120",90,"Cerro Gordo","Jean ","Palmer","(641) 424-1740","(641) 423-1751","vangrouwj@usa.net","POINT (-93.195774 43.153646)","302 2nd Street NE","Mason City","Iowa",504013412,50401,504013412,NA,NA,NA
"286","Promise House","Yes","S0090",20,"Linn","Kent ","Walton","(319) 743-9812","(319) 743-9815","kwalton@hiawathacarecenter.com","POINT (-91.690934 42.042117)","1320 Litchfield Dr","Hiawatha","Iowa",522332343,52233,522332343,NA,NA,NA
"287","Prairie View Inn","No","S0039",26,"O'Brien","Wendy","Nelson","(712) 930-3228","(712) 729-5152","WNelson@tcaexpress.net","POINT (-95.64402 43.175391)","610 N. Eastern Street","Sanborn","Iowa",512481089,51248,512481089,NA,NA,NA
"288","Edencrest at Green Meadows","Yes","S0355",128,"Polk","Pamela","Smith","(515) 207-1984","(515) 777-2380","greenmeadowsmanager@edencrestliving.com","POINT (-93.710528 41.667323)","6750 Corporate Drive","Johnston","Iowa",50131,50131,50131,NA,NA,NA
"289","Holy Spirit","Yes","S0038",45,"Woodbury","Patrick ","Tomscha","(712) 252-2726","(712) 293-1953","patt@holyspiritretirementhome.com","POINT (-96.430456 42.515761)","1701 W 25th St","Sioux City","Iowa",511031705,51103,511031705,NA,NA,NA
"290","Tower Living Center","No","S0247",7,"Clayton","Mary","Eulberg","(563) 964-9090","","eulberg@mchsi.com","POINT (-91.235214 42.868805)","103 Centre Street, Box 477","Garnavillo","Iowa",52049,52049,52049,NA,NA,NA
"291","Kensington Place","No","S0202",68,"Chickasaw","Kaitlain","Kroeze","(641) 394-4153","(641) 394-3708","kensingtonplaceassistedliving1@gmail.com","POINT (-92.305272 43.054657)","504 Short Avenue","New Hampton","Iowa",506591867,50659,506591867,NA,NA,NA
"292","Friesland AL and Zeeland Memory Support","Yes","S0337",72,"Marion","Nancy","Hamilton","(641) 629-0730","(641) 628-9887","nhamilton@wesleylife.org","POINT (-92.916639 41.426863)","1742 Main Street","Pella","Iowa",50219,50219,50219,NA,NA,NA
"293","River Living Center","No","S0279",11,"Clayton","Mary","Eulberg","(563) 252-3070","","eulberg@mchsi.com","POINT (-91.100512 42.777438)","831 South Hwy 52","Guttenberg","Iowa",52052,52052,52052,NA,NA,NA
"294","Valley View Manor AL","No","S0121",28,"Muscatine","Jeane","Arnette","(563) 263-1241","(319) 263-4180","jarnette@lutheran-homes.org","POINT (-91.096971 41.417158)","2421 Lutheran Dr","Muscatine","Iowa",527619382,52761,527619382,NA,NA,NA
"295","Highland Ridge","No","S0196",94,"Iowa","Krista","Humphrey","(319) 668-3800","(319) 668-3801","khumphrey@preshomes.org","POINT (-92.001637 41.671254)","100 Village View Circle","WILLIAMSBURG","Iowa",523619684,52361,523619684,NA,NA,NA
"296","Legacy Pointe","Yes","S0116",136,"Johnson","Kaylan","Hamerlinck","(319) 341-0911","(319) 341-4324","kaylan.hamerlinck@legacypointeiowa.com","POINT (-91.482908 41.649122)","1020 S. Scott Blvd.","Iowa City","Iowa",522405832,52240,522405832,NA,NA,NA
"297","Brown Deer Place","No","S0111",44,"Johnson","Jodie","Conrad","(319) 337-6320","(319) 341-7997","manager@browndeerplace.com","POINT (-91.566556 41.693186)","1500 1st Ave N","Coralville","Iowa",522411192,52241,522411192,NA,NA,NA
"298","Homestead of Knoxville","No","S0132",122,"Marion","Kristi","Zellmer","(641) 828-7878","(641) 828-2184","kzellmer@homesteadofknoxville.com","POINT (-93.114353 41.311118)","908 South Park Lane","Knoxville","Iowa",501383176,50138,501383176,NA,NA,NA
"299","Adel Assisted Living Apartments","No","S0219",28,"Dallas","Linda","Crawford","(515) 993-5176","(515) 993-5177","lcrawford@wesleyservices.org","POINT (-94.037349 41.610746)","504 VAN FOSSEN","ADEL","Iowa",500031689,50003,500031689,NA,NA,NA
"300","Maple Grove Senior Living","No","S0148",30,"Appanoose","Laurie","Buckhahn","(641) 856-6601","(641) 437-4090","admin@goldenagecarecenter.com; mg@goldenagecarecenter.com","POINT (-92.867877 40.715239)","1917 South 18TH Street","Centerville","Iowa",525443136,52544,525443136,NA,NA,NA
"301","Accura Healthcare of Cherokee","No","S0158",24,"Cherokee","Shella","Bahrke","(712) 225-5724","(712) 225-3917","Cherokee@accura.healthcare","POINT (-95.534771 42.758673)","921 Riverview Drive","Cherokee","Iowa",510121578,51012,510121578,NA,NA,NA
"302","Greenfield Manor AL","No","S0050",40,"Adair","Nancy","Farley","(641) 743-6131","(641) 343-7090","greenfield@tutera.com","POINT (-94.450993 41.302887)","615 SE Kent","Greenfield","Iowa",508499454,50849,508499454,NA,NA,NA
"303","Carlisle Center for AL","No","S0309",44,"Warren","Kathy","Beal","(515) 989-0871","(515) 989-7023","Carlisle_Assisted_Living@pacificahealth.com","POINT (-93.49361 41.495603)","685 Cole Street","Carlisle","Iowa",50047,50047,50047,NA,NA,NA
"304","Glenwood Place","Yes","S0086",102,"Marshall","Pamela","Wells","(641) 752-8410","(641) 752-8515","manager@glenwoodplaceal.net","POINT (-92.922123 42.010912)","2907 S 6th St","Marshalltown","Iowa",501584687,50158,501584687,NA,NA,NA
"305","Windhaven Assisted Living Center","Yes","S0244",198,"Blackhawk","Sharon","Lukes","(319) 266-5764","(319) 266-2052","Sharon.lukes@westernhome.org","POINT (-92.445909 42.488438)","5500 South Main Street","Cedar Falls","Iowa",506137437,50613,506137437,NA,NA,NA
"306","Silveridge, An Eventide Community, LLC","No","S0315",72,"Crawford","Kara","Webb","(712) 263-2639","(712) 263-8819","kwebb@eventidehome.com","POINT (-95.343941 42.014192)","222 South 20th Street","Denison","Iowa",51442,51442,51442,NA,NA,NA
"307","Dunlap Assisted Living","No","S0249",12,"Harrison","Kerri","Klaahsen","(712) 643-2121","(712) 643-5502","kklaahsen@careinitiatives.org","POINT (-95.59004 41.848879)","1405 Harrison Road","Dunlap","Iowa",515291565,51529,515291565,NA,NA,NA
"308","Indian Creek Independent & Assisted Living Apts.","No","S0324",36,"Story","Heidi","Baker","(515) 382-6556","(515) 382-1425","hbaker@abcmcorp.com","POINT (-93.452372 42.011717)","100 6th Street","Nevada","Iowa",50201,50201,50201,NA,NA,NA
"309","Panora AL","No","S0255",13,"Guthrie","Jana","Cates","(641) 755-2700","(641) 755-3547","jcates@careinitiatives.org; rmccoy@careinitiatives.org","POINT (-94.352969 41.691851)","807 East Main Street","Panora","Iowa",502161017,50216,502161017,NA,NA,NA
"310","Pennsylvania Place AL","Yes","S0022",134,"Wapello","Randy","Sparks","(641) 684-4000","(641) 684-4079","rsparks@pennplace.com; arainbolt@pennplace.com; joanie@pennplace.com","POINT (-92.384843 41.027519)","2 Pennsylvania Place","Ottumwa","Iowa",525012188,52501,525012188,NA,NA,NA
"311","Courtyard Estates of Walcott","No","S0263",60,"Scott","Laura ","Spengler","(563) 284-4211","(563) 284-4249","lspengler@petersenhealthcare.net
","POINT (-90.774596 41.590353)","510 North Main Street","Walcott","Iowa",527737827,52773,527737827,NA,NA,NA
"312","Apple Valley Assisted Living Charles City","No","S0083",42,"Floyd","Terri","Cosselman","(641) 257-3003","(641) 257-3038","aval@cltel.net","POINT (-92.675753 43.068108)","801 Blunt Pkwy #39","Charles City","Iowa",506162207,50616,506162207,NA,NA,NA
"313","Cobble Creek AL of Sheldon","No","S0106",12,"O'Brien","Aimee","Meyer","(712) 324-7404","(712) 324-7405","aimeelynn_25@yahoo.com","POINT (-95.843702 43.187735)","980 Oak Street","Sheldon","Iowa",512011221,51201,512011221,NA,NA,NA
"314","Village Assisted Living","No","S0308",108,"Polk","Shelly","Charter","(515) 265-2571","(515) 265-3044","scharter@elimcare.org","POINT (-93.568546 41.614987)","2555 Guthrie Avenue","Des Moines","Iowa",503173096,50317,503173096,NA,NA,NA
"315","Deer View Manor","No","S0325",50,"Keokuk","Sandra","Ahn","(641) 622-2142","(641) 622-9910","sahn@abcmcorp.com","POINT (-92.206377 41.323384)","1212 South Stuart Street","Sigourney","Iowa",52591,52591,52591,NA,NA,NA
"316","Mulberry Place","No","S0123",28,"Davis","Patricia","Quail","(641) 664-2523","(641) 664-2929","pquail@abcmcorp.com","POINT (-92.415645 40.761279)","11 Deborah Drive","Bloomfield","Iowa",525371174,52537,525371174,NA,NA,NA
"317","Park Place Independent & Assisted Living","No","S0281",20,"Sac","Melissa","Thomsen","(712) 662-6260","(712) 662-3393","mthomsen@abcmcorp.com","POINT (-94.975314 42.420485)","551 Park Avenue","Sac City","Iowa",50583,50583,50583,NA,NA,NA
"318","Linden Place AL","No","S0088",60,"Bremer","Heather","Johnson","(319) 352-8851","(319) 352-8852","hjohnson@bartelscommunity.org","POINT (-92.492524 42.730106)","1802 5th Ave NW","Waverly","Iowa",506771903,50677,506771903,NA,NA,NA
"319","Garden View Senior Community","Yes","S0215",56,"Clayton","Randee","Koenig","(563) 539-4528","(563) 539-4895","gardenview@neitel.net","POINT (-91.401524 43.049368)","800 Darby Drive","Monona","Iowa",521598157,52159,521598157,NA,NA,NA
